Date,TCS,INFY,Nifty,,,
01-Apr-20,1708.75,602.8,8253.8,,,
03-Apr-20,1654.2,585.7,8083.8,,,
07-Apr-20,1775.2,639,8792.2,,,
08-Apr-20,1705.45,631.6,8748.75,,,
09-Apr-20,1766.15,636.25,9111.9,,,
13-Apr-20,1759.25,637.4,8993.85,,,
15-Apr-20,1735.15,639.05,8925.3,,,
16-Apr-20,1716.05,623.85,8992.8,,,
17-Apr-20,1806.2,628.75,9266.75,,,
20-Apr-20,1818.65,653.3,9261.85,,,
21-Apr-20,1737.65,633.2,8981.45,,,
22-Apr-20,1769.5,641.85,9187.3,,,
23-Apr-20,1878.25,679.3,9313.9,,,
24-Apr-20,1818.55,658,9154.4,,,
27-Apr-20,1836.6,664.6,9282.3,,,
28-Apr-20,1859.05,660.7,9380.9,,,
29-Apr-20,1905.65,676.55,9553.35,,,
30-Apr-20,2014.45,715.5,9859.9,,,
04-May-20,1930.45,673.7,9293.5,,,
05-May-20,1932.75,673.7,9205.6,,,
06-May-20,1903.6,665.9,9270.9,,,
07-May-20,1891.65,664.95,9199.05,,,
08-May-20,1893.4,674.2,9251.5,,,
11-May-20,1935.3,682.9,9239.2,,,
12-May-20,1949.5,687.65,9196.55,,,
13-May-20,1949.65,694.15,9383.55,,,
14-May-20,1902.35,658.15,9142.75,,,
15-May-20,1892.9,652.3,9136.85,,,
18-May-20,1945.6,663.9,8823.25,,,
19-May-20,1948.65,668.6,8879.1,,,
20-May-20,1953.6,669.55,9066.55,,,
21-May-20,1991.2,672.2,9106.25,,,
22-May-20,2020.35,692.35,9039.25,,,
26-May-20,1943,680.55,9029.05,,,
27-May-20,2005.3,705.45,9314.95,,,
28-May-20,2004.3,707.4,9490.1,,,
29-May-20,1972.35,691,9580.3,,,
01-Jun-20,2045.25,699.55,9826.15,,,
02-Jun-20,2047.15,708.1,9979.1,,,
03-Jun-20,2046.15,701.55,10061.55,,,
04-Jun-20,2091.55,707.75,10029.1,,,
05-Jun-20,2048.25,703.55,10142.15,,,
08-Jun-20,2071.75,720.85,10167.45,,,
09-Jun-20,2072.05,717.6,10046.65,,,
10-Jun-20,2108.75,715.85,10116.15,,,
11-Jun-20,2067.65,703.95,9902,,,
12-Jun-20,2039.5,692.05,9972.9,,,
15-Jun-20,2029.9,687.55,9813.7,,,
16-Jun-20,2045.8,701.2,9914,,,
17-Jun-20,2047.8,703.65,9881.15,,,
18-Jun-20,2038.1,713.9,10091.65,,,
19-Jun-20,2044.6,705.55,10244.4,,,
22-Jun-20,2027.95,703.7,10311.2,,,
23-Jun-20,2035.3,720.65,10471,,,
24-Jun-20,2042.2,714.15,10305.3,,,
25-Jun-20,2016.1,700.5,10288.9,,,
26-Jun-20,2118.85,748.2,10383,,,
29-Jun-20,2101.65,731.75,10312.4,,,
30-Jun-20,2082.15,735.95,10302.1,,,
01-Jul-20,2092.05,731.9,10430.05,,,
02-Jul-20,2157.15,756.6,10551.7,,,
03-Jul-20,2199.65,762.7,10607.35,,,
06-Jul-20,2263.2,764,10763.65,,,
07-Jul-20,2269.9,794.15,10799.65,,,
08-Jul-20,2218.9,774.7,10705.75,,,
09-Jul-20,2204.35,781.7,10813.45,,,
10-Jul-20,2222.35,781.85,10768.05,,,
13-Jul-20,2220,797.05,10802.7,,,
14-Jul-20,2171.95,783.25,10607.35,,,
15-Jul-20,2233.9,830.95,10618.2,,,
16-Jul-20,2234.75,911,10739.95,,,
17-Jul-20,2200.75,903.15,10901.7,,,
20-Jul-20,2207.9,934.3,11022.2,,,
21-Jul-20,2225.05,936.75,11162.25,,,
22-Jul-20,2190.95,917.9,11132.6,,,
23-Jul-20,2171.2,907.95,11215.45,,,
24-Jul-20,2157.4,922.85,11194.15,,,
27-Jul-20,2206.8,948.45,11131.8,,,
28-Jul-20,2309.75,962.85,11300.55,,,
29-Jul-20,2276.05,954.15,11202.85,,,
30-Jul-20,2279.5,961.45,11102.15,,,
31-Jul-20,2281.4,966,11073.45,,,
03-Aug-20,2254.15,956.9,10891.6,,,
04-Aug-20,2249.7,949.85,11095.25,,,
05-Aug-20,2259.5,944.7,11101.65,,,
06-Aug-20,2308.1,970.85,11200.15,,,
07-Aug-20,2295.35,950.9,11214.05,,,
10-Aug-20,2282.8,951.35,11270.15,,,
11-Aug-20,2279.9,948.45,11322.5,,,
12-Aug-20,2257.35,954.95,11308.4,,,
13-Aug-20,2254.45,951.2,11300.45,,,
14-Aug-20,2242.15,953.6,11178.4,,,
17-Aug-20,2253.4,957.5,11247.1,,,
18-Aug-20,2269.75,967.55,11385.35,,,
19-Aug-20,2256.6,959.3,11408.4,,,
20-Aug-20,2252.85,955.15,11312.2,,,
21-Aug-20,2248.6,948.8,11371.6,,,
24-Aug-20,2248.1,947.4,11466.45,,,
25-Aug-20,2242.65,938.1,11472.25,,,
26-Aug-20,2253.5,950.8,11549.6,,,
27-Aug-20,2248.4,947.05,11559.25,,,
28-Aug-20,2238.55,935.25,11647.6,,,
31-Aug-20,2257.25,928.6,11387.5,,,
01-Sep-20,2246.35,914.15,11470.25,,,
02-Sep-20,2265.15,924,11535,,,
03-Sep-20,2299.5,935.55,11527.45,,,
04-Sep-20,2288.8,919.15,11333.85,,,
07-Sep-20,2327.05,925.05,11355.05,,,
08-Sep-20,2348.2,939.3,11317.35,,,
09-Sep-20,2327.65,927.75,11278,,,
10-Sep-20,2331.15,940.05,11449.25,,,
11-Sep-20,2374.1,945.7,11464.45,,,
14-Sep-20,2491.4,978.4,11440.05,,,
15-Sep-20,2491.4,982.45,11521.8,,,
16-Sep-20,2503,1001.75,11604.55,,,
17-Sep-20,2460.95,1011,11516.1,,,
18-Sep-20,2449.9,1002.15,11504.95,,,
21-Sep-20,2465.3,1009.9,11250.55,,,
22-Sep-20,2522.95,1007.5,11153.65,,,
23-Sep-20,2467.45,1019.75,11131.85,,,
24-Sep-20,2332.25,975.4,10805.55,,,
25-Sep-20,2422.3,1011.45,11050.25,,,
28-Sep-20,2426.3,1010.4,11227.55,,,
29-Sep-20,2488.4,1009,11222.4,,,
30-Sep-20,2492.3,1008.25,11247.55,,,
01-Oct-20,2523.45,1017.65,11416.95,,,
05-Oct-20,2705.8,1048.7,11503.35,,,
06-Oct-20,2714.3,1055.75,11662.4,,,
07-Oct-20,2735.95,1066.55,11738.85,,,
08-Oct-20,2825.7,1093.7,11834.6,,,
09-Oct-20,2812.95,1106.8,11914.2,,,
12-Oct-20,2830,1132.1,11930.95,,,
13-Oct-20,2826.55,1157.8,11934.5,,,
14-Oct-20,2809.6,1137,11971.05,,,
15-Oct-20,2740.6,1108.25,11680.35,,,
16-Oct-20,2763.3,1127.5,11762.45,,,
19-Oct-20,2711.55,1125.9,11873.05,,,
20-Oct-20,2739,1137.5,11896.8,,,
21-Oct-20,2675.4,1148.35,11937.65,,,
22-Oct-20,2671.15,1129.05,11896.45,,,
23-Oct-20,2686.8,1122.5,11930.35,,,
26-Oct-20,2688.2,1112.45,11767.75,,,
27-Oct-20,2630.15,1090.85,11889.4,,,
28-Oct-20,2622.2,1076.55,11729.6,,,
29-Oct-20,2632.65,1074.85,11670.8,,,
30-Oct-20,2664.85,1060.6,11642.4,,,
02-Nov-20,2604.6,1072.3,11669.15,,,
03-Nov-20,2633.6,1062.55,11813.5,,,
04-Nov-20,2653.15,1093.95,11908.5,,,
05-Nov-20,2685.7,1104,12120.3,,,
06-Nov-20,2707.45,1112.75,12263.55,,,
09-Nov-20,2726.6,1136.55,12461.05,,,
10-Nov-20,2649.6,1091.05,12631.1,,,
11-Nov-20,2687.8,1122.5,12749.15,,,
12-Nov-20,2671.05,1117.75,12690.8,,,
13-Nov-20,2656.85,1124.2,12719.95,,,
14-Nov-20,2670.35,1133.45,12780.25,,,
17-Nov-20,2666.05,1123.7,12874.2,,,
18-Nov-20,2626.65,1110.55,12938.25,,,
19-Nov-20,2636.9,1096.75,12771.7,,,
20-Nov-20,2660.25,1103.35,12859.05,,,
23-Nov-20,2724.25,1139.85,12926.45,,,
24-Nov-20,2722.05,1140.05,13055.15,,,
25-Nov-20,2701.3,1115.65,12858.4,,,
26-Nov-20,2720.6,1113.2,12987,,,
27-Nov-20,2679.65,1100,12968.95,,,
01-Dec-20,2726.8,1137.85,13109.05,,,
02-Dec-20,2749.55,1140.9,13113.75,,,
03-Dec-20,2709.45,1126.45,13133.9,,,
04-Dec-20,2727.55,1134.65,13258.55,,,
07-Dec-20,2737.7,1143.5,13355.75,,,
08-Dec-20,2797.3,1153.35,13392.95,,,
09-Dec-20,2810.8,1175.2,13529.1,,,
10-Dec-20,2784.3,1167.75,13478.3,,,
11-Dec-20,2783.6,1163.2,13513.85,,,
14-Dec-20,2797.7,1164.55,13558.15,,,
15-Dec-20,2761.55,1154.6,13567.85,,,
16-Dec-20,2814.2,1165.7,13682.7,,,
17-Dec-20,2838.2,1159.2,13740.7,,,
18-Dec-20,2861,1189.8,13760.55,,,
21-Dec-20,2820.15,1177.3,13328.4,,,
22-Dec-20,2872.5,1220.5,13466.3,,,
23-Dec-20,2908.75,1253.05,13601.1,,,
24-Dec-20,2909.35,1236.05,13749.25,,,
28-Dec-20,2929.4,1240.3,13873.2,,,
29-Dec-20,2930.5,1250.3,13932.6,,,
30-Dec-20,2909.3,1246.8,13981.95,,,
31-Dec-20,2862.75,1255.8,13981.75,,,
01-Jan-21,2928.25,1260.45,14018.5,,,
04-Jan-21,3039.45,1288.25,14132.9,,,
05-Jan-21,3093,1293.8,14199.5,,,
06-Jan-21,3051.5,1282.1,14146.25,,,
07-Jan-21,3032.8,1262.15,14137.35,,,
08-Jan-21,3120.9,1312.1,14347.25,,,
11-Jan-21,3176.45,1376.2,14484.75,,,
12-Jan-21,3174.85,1371.75,14563.45,,,
13-Jan-21,3158.95,1387.15,14564.85,,,
14-Jan-21,3250.7,1370.5,14595.6,,,
15-Jan-21,3233.35,1344.95,14433.7,,,
18-Jan-21,3221.75,1312.05,14281.3,,,
19-Jan-21,3260.7,1316.65,14521.15,,,
20-Jan-21,3308.8,1339.45,14644.7,,,
21-Jan-21,3273.85,1339.7,14590.35,,,
22-Jan-21,3303.1,1340.85,14371.9,,,
25-Jan-21,3291.3,1325.1,14238.9,,,
27-Jan-21,3261.05,1301,13967.5,,,
28-Jan-21,3196.55,1276.2,13817.55,,,
29-Jan-21,3111.35,1239.05,13634.6,,,
01-Feb-21,3139.35,1260.9,14281.2,,,
02-Feb-21,3203.45,1271.25,14647.85,,,
03-Feb-21,3200.05,1284.65,14789.95,,,
04-Feb-21,3188.45,1279.35,14895.65,,,
05-Feb-21,3157.95,1272.1,14924.25,,,
08-Feb-21,3214.1,1303.55,15115.8,,,
09-Feb-21,3176.9,1305.55,15109.3,,,
10-Feb-21,3213.3,1296.5,15106.5,,,
11-Feb-21,3206,1292.65,15173.3,,,
12-Feb-21,3190.8,1309.8,15163.3,,,
15-Feb-21,3139.85,1309.65,15314.7,,,
16-Feb-21,3108.8,1290.4,15313.45,,,
17-Feb-21,3073.1,1281.3,15208.9,,,
18-Feb-21,3057.35,1292.45,15118.95,,,
19-Feb-21,3071.85,1291.3,14981.75,,,
22-Feb-21,2958.45,1265.2,14675.7,,,
23-Feb-21,2980.2,1266.35,14707.8,,,
24-Feb-21,2948.1,1274.3,14982,,,
25-Feb-21,2995.3,1274.55,15097.35,,,
26-Feb-21,2894.3,1253.3,14529.15,,,
01-Mar-21,2924.2,1267,14761.55,,,
02-Mar-21,3006.35,1304.5,14919.1,,,
03-Mar-21,3059.1,1343.55,15245.6,,,
04-Mar-21,3049.7,1330.35,15080.75,,,
05-Mar-21,3008.05,1316.7,14938.1,,,
08-Mar-21,3006.95,1335.75,14956.2,,,
09-Mar-21,3050.95,1345.55,15098.4,,,
10-Mar-21,3070.95,1368.15,15174.8,,,
12-Mar-21,3057.95,1374.85,15030.95,,,
15-Mar-21,3066.15,1373.6,14929.5,,,
16-Mar-21,3110.05,1384,14910.45,,,
17-Mar-21,3112.95,1387,14721.3,,,
18-Mar-21,3036.5,1337.1,14557.85,,,
19-Mar-21,3050.2,1344.45,14744,,,
22-Mar-21,3129.65,1370.8,14736.4,,,
23-Mar-21,3142.6,1371.55,14814.75,,,
24-Mar-21,3121.1,1353.75,14549.4,,,
25-Mar-21,3064.85,1333.8,14324.9,,,
26-Mar-21,3066.8,1336.2,14507.3,,,
30-Mar-21,3158.55,1385.3,14845.1,,,
31-Mar-21,3177.85,1368.05,14690.7,,,
